text,font_size,font_color_red,font_color_green,font_color_blue,font_color_alpha,font_weight,output
graphical model,16,51,102,204,1,400,1
random variables,12.32,51,102,204,1,400,1
conditional independence,16,51,102,204,1,400,1
directed acyclic graph,16,51,102,204,1,400,1
inference,16,51,102,204,1,400,1
speech signals,16,51,102,204,1,400,1
protein sequences,12.32,51,102,204,1,400,1
dynamic Bayesian networks,16,51,102,204,1,400,1
influence diagrams,16,51,102,204,1,400,1
Gaussian processes,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Gaussian processes,12.32,51,102,204,1,400,1
An example of Gaussian Process Regression (prediction) compared with other regression models,12.3704,32,33,34,1,400,1
"A Gaussian process is a in which every finite collection of the random variables in the process has a , and it relies on a pre-defined , or kernel, that models how pairs of points relate to each other depending on their locations.",14,32,33,34,1,400,1
stochastic process,16,51,102,204,1,400,1
multivariate normal distribution,16,51,102,204,1,400,1
covariance function,16,51,102,204,1,400,1
Gaussian processes are popular surrogate models in used to do .,14,32,33,34,1,400,1
Bayesian optimization,16,51,102,204,1,400,1
hyperparameter optimization,16,51,102,204,1,400,1
Genetic algorithms,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Genetic algorithm,16,51,102,204,1,400,1
search algorithm,16,51,102,204,1,400,1
heuristic,16,51,102,204,1,400,1
natural selection,16,51,102,204,1,400,1
mutation,16,51,102,204,1,400,1
crossover,16,51,102,204,1,400,1
genotypes,16,51,102,204,1,400,1
evolutionary algorithms,16,51,102,204,1,400,1
Training models,21,0,0,0,1,400,1
"Typically, machine learning models require a high quantity of reliable data in order for the models to perform accurate predictions. When training a machine learning model, machine learning engineers need to target and collect a large and representative sample of data. Data from the training set can be as varied as a corpus of text, a collection of images, sensor data, and data collected from individual users of a service. is something to watch out for when training a machine learning model. Trained models derived from biased or non-evaluated data can result in skewed or undesired predictions. Bias models may result in detrimental outcomes thereby furthering the negative impacts on society or objectives. is a potential result of data not being fully prepared for training. Machine learning ethics is becoming a field of study and notably be integrated within machine learning engineering teams.",14,32,33,34,1,400,1
Overfitting,16,51,102,204,1,400,1
Algorithmic bias,16,51,102,204,1,400,1
Federated learning,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Federated learning,16,51,102,204,1,400,1
"Federated learning is an adapted form of to training machine learning models that decentralizes the training process, allowing for users' privacy to be maintained by not needing to send their data to a centralized server. This also increases efficiency by decentralizing the training process to many devices. For example, uses federated machine learning to train search query prediction models on users' mobile phones without having to send individual searches back to .",14,32,33,34,1,400,1
distributed artificial intelligence,16,51,102,204,1,400,1
Gboard,16,51,102,204,1,400,1
Google,16,51,102,204,1,400,1
Applications,21,0,0,0,1,400,1
"There are many applications for machine learning, including:",14,32,33,34,1,400,1
Agriculture,16,51,102,204,1,400,1
Anatomy,16,51,102,204,1,400,1
Adaptive website,16,51,102,204,1,400,1
Affective computing,16,51,102,204,1,400,1
Astronomy,16,51,102,204,1,400,1
Automated decision-making,16,51,102,204,1,400,1
Banking,12.32,51,102,204,1,400,1
Behaviorism,16,51,102,204,1,400,1
Bioinformatics,16,51,102,204,1,400,1
Cheminformatics,16,51,102,204,1,400,1
Citizen Science,12.32,51,102,204,1,400,1
Climate Science,12.32,51,102,204,1,400,1
Computer networks,16,51,102,204,1,400,1
Computer vision,16,51,102,204,1,400,1
detection,16,32,33,34,1,400,1
Credit-card fraud,12.32,51,102,204,1,400,1
Data quality,16,51,102,204,1,400,1
classification,16,32,33,34,1,400,1
DNA sequence,12.32,51,102,204,1,400,1
Economics,16,51,102,204,1,400,1
analysis,16,32,33,34,1,400,1
Financial market,16,51,102,204,1,400,1
General game playing,16,51,102,204,1,400,1
Handwriting recognition,16,51,102,204,1,400,1
Information retrieval,16,51,102,204,1,400,1
Insurance,16,51,102,204,1,400,1
detection,16,32,33,34,1,400,1
Internet fraud,16,51,102,204,1,400,1
Knowledge graph embedding,16,51,102,204,1,400,1
Linguistics,16,51,102,204,1,400,1
Machine learning control,16,51,102,204,1,400,1
Machine perception,16,51,102,204,1,400,1
Machine translation,16,51,102,204,1,400,1
Marketing,16,51,102,204,1,400,1
Medical diagnosis,12.32,51,102,204,1,400,1
Natural language processing,16,51,102,204,1,400,1
Natural language understanding,16,51,102,204,1,400,1
Online advertising,16,51,102,204,1,400,1
Optimization,16,51,102,204,1,400,1
Recommender systems,16,51,102,204,1,400,1
Robot locomotion,16,51,102,204,1,400,1
Search engines,12.32,51,102,204,1,400,1
Sentiment analysis,16,51,102,204,1,400,1
Sequence mining,12.32,51,102,204,1,400,1
Software engineering,16,51,102,204,1,400,1
Speech recognition,16,51,102,204,1,400,1
Structural health monitoring,16,51,102,204,1,400,1
Syntactic pattern recognition,16,51,102,204,1,400,1
Telecommunication,12.32,51,102,204,1,400,1
Theorem proving,16,51,102,204,1,400,1
Time-series forecasting,16,51,102,204,1,400,1
User behavior analytics,16,51,102,204,1,400,1
Netflix,16,51,102,204,1,400,1
Netflix Prize,16,51,102,204,1,400,1
AT&T Labs,16,51,102,204,1,400,1
ensemble model,12.32,51,102,204,1,400,1
Sun Microsystems,16,51,102,204,1,400,1
Vinod Khosla,16,51,102,204,1,400,1
Springer Nature,16,51,102,204,1,400,1
Limitations,21,0,0,0,1,400,1
"Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results. Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.",14,32,33,34,1,400,1
IBM Watson,12.32,51,102,204,1,400,1
"Machine learning has been used as a strategy to update the evidence related to a systematic review and increased reviewer burden related to the growth of biomedical literature. While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves.",14,32,33,34,1,400,1
Main article:,14,32,33,34,1,400,1
Algorithmic bias,16,51,102,204,1,400,1
chatbot,16,51,102,204,1,400,1
fairness,16,51,102,204,1,400,1
Fei-Fei Li,16,51,102,204,1,400,1
Explainability,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Explainable artificial intelligence,16,51,102,204,1,400,1
"Explainable AI (XAI), or Interpretable AI, or Explainable Machine Learning (XML), is artificial intelligence (AI) in which humans can understand the decisions or predictions made by the AI. It contrasts with the ""black box"" concept in machine learning where even its designers cannot explain why an AI arrived at a specific decision. By refining the mental models of users of AI-powered systems and dismantling their misconceptions, XAI promises to help users perform more effectively. XAI may be an implementation of the social right to explanation.",14,32,33,34,1,400,1
Overfitting,21,0,0,0,1,400,1
Main article:,14,32,33,34,1,400,1
Overfitting,16,51,102,204,1,400,1
The blue line could be an example of overfitting a linear function due to random noise.,12.3704,32,33,34,1,400,1
"Settling on a bad, overly complex theory gerrymandered to fit all the past training data is known as overfitting. Many systems attempt to reduce overfitting by rewarding a theory in accordance with how well it fits the data but penalizing the theory in accordance with how complex the theory is.",14,32,33,34,1,400,1
Other limitations and vulnerabilities,21,0,0,0,1,400,1
"Learners can also disappoint by ""learning the wrong lesson"". A toy example is that an image classifier trained only on pictures of brown horses and black cats might conclude that all brown patches are likely to be horses. A real-world example is that, unlike humans, current image classifiers often don't primarily make judgments from the spatial relationship between components of the picture, and they learn relationships between pixels that humans are oblivious to, but that still correlate with images of certain types of real objects. Modifying these patterns on a legitimate image can result in ""adversarial"" images that the system misclassifies.",14,32,33,34,1,400,1
"Adversarial vulnerabilities can also result in nonlinear systems, or from non-pattern perturbations. Some systems are so brittle that changing a single adversarial pixel predictably induces misclassification. Machine learning models are often vulnerable to manipulation and/or evasion via .",14,32,33,34,1,400,1
citation needed,16,0,0,0,0,700,1
adversarial machine learning,16,51,102,204,1,400,1
"Researchers have demonstrated how can be placed undetectably into classifying (e.g., for categories ""spam"" and well-visible ""not spam"" of posts) machine learning models which are often developed and/or trained by third parties. Parties can change the classification of any input, including in cases for which a type of is provided, possibly including .",14,32,33,34,1,400,1
backdoors,16,51,102,204,1,400,1
data/software transparency,16,51,102,204,1,400,1
white-box access,16,51,102,204,1,400,1
Model assessments,21,0,0,0,1,400,1
holdout,12.32,51,102,204,1,400,1
cross-validation,16,51,102,204,1,400,1
bootstrap,16,51,102,204,1,400,1
"In addition to overall accuracy, investigators frequently report meaning True Positive Rate (TPR) and True Negative Rate (TNR) respectively. Similarly, investigators sometimes report the (FPR) as well as the (FNR). However, these rates are ratios that fail to reveal their numerators and denominators. The (TOC) is an effective method to express a model's diagnostic ability. TOC shows the numerators and denominators of the previously mentioned rates, thus TOC provides more information than the commonly used (ROC) and ROC's associated area under the curve (AUC).",14,32,33,34,1,400,1
sensitivity and specificity,16,51,102,204,1,400,1
false positive rate,16,51,102,204,1,400,1
false negative rate,12.32,51,102,204,1,400,1
total operating characteristic,16,51,102,204,1,400,1
receiver operating characteristic,16,51,102,204,1,400,1
Ethics,21,0,0,0,1,400,1
"See also: , , and",14,32,33,34,1,400,1
AI control problem,12.32,51,102,204,1,400,1
Toronto Declaration,16,51,102,204,1,400,1
Ethics of artificial intelligence,16,51,102,204,1,400,1
ethical questions,16,51,102,204,1,400,1
algorithmic bias,16,51,102,204,1,400,1
collection of data,16,51,102,204,1,400,1
"AI can be well-equipped to make decisions in technical fields, which rely heavily on data and historical information. These decisions rely on the objectivity and logical reasoning. Because human languages contain biases, machines trained on language will necessarily also learn these biases.",14,32,33,34,1,400,1
corpora,16,51,102,204,1,400,1
"Other forms of ethical challenges, not related to personal biases, are seen in health care. There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines. This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increase profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.",14,32,33,34,1,400,1
Hardware,21,0,0,0,1,400,1
deep neural networks,12.32,51,102,204,1,400,1
OpenAI,16,51,102,204,1,400,1
Neuromorphic/Physical Neural Networks,21,0,0,0,1,400,1
"A or is a type of in which an electrically adjustable material is used to emulate the function of a . ""Physical"" neural network is used to emphasize the reliance on physical hardware used to emulate as opposed to software-based approaches. More generally the term is applicable to other artificial neural networks in which a or other electrically adjustable resistance material is used to emulate a neural synapse.",14,32,33,34,1,400,1
physical neural network,16,51,102,204,1,400,1
Neuromorphic computer,16,51,102,204,1,400,1
artificial neural network,16,51,102,204,1,400,1
neural synapse,16,51,102,204,1,400,1
neurons,12.32,51,102,204,1,400,1
memristor,16,51,102,204,1,400,1
Embedded Machine Learning,21,0,0,0,1,400,1
"is a sub-field of machine learning, where the machine learning model is run on with limited computing resources such as , and . Running machine learning model in embedded devices removes the need for transferring and storing data on cloud servers for further processing, henceforth, reducing data breaches and privacy leaks happening because of transferring data, and also minimizes theft of intellectual properties, personal data and business secrets. Embedded Machine Learning could be applied through several techniques including , using , optimization of machine learning models and many more.",14,32,33,34,1,400,1
Embedded Machine Learning,10.9956,32,33,34,1,700,1
embedded systems,12.32,51,102,204,1,400,1
wearable computers,16,51,102,204,1,400,1
edge devices,16,51,102,204,1,400,1
microcontrollers,12.32,51,102,204,1,400,1
hardware acceleration,16,51,102,204,1,400,1
approximate computing,16,51,102,204,1,400,1
Software,21,0,0,0,1,400,1
containing a variety of machine learning algorithms include the following:,14,32,33,34,1,400,1
Software suites,16,51,102,204,1,400,1
Free and open-source software,21,0,0,0,1,400,1
Caffe,16,51,102,204,1,400,1
DeepSpeed,16,51,102,204,1,400,1
Google JAX,16,51,102,204,1,400,1
Infer.NET,16,51,102,204,1,400,1
Keras,16,51,102,204,1,400,1
Kubeflow,16,51,102,204,1,400,1
LightGBM,16,51,102,204,1,400,1
Mahout,16,51,102,204,1,400,1
Mallet,16,51,102,204,1,400,1
Microsoft Cognitive Toolkit,16,51,102,204,1,400,1
ML.NET,16,51,102,204,1,400,1
mlpack,16,51,102,204,1,400,1
MLFlow,16,32,33,34,1,400,1
MXNet,12.32,51,102,204,1,400,1
Neural Lab,16,51,102,204,1,400,1
OpenNN,16,51,102,204,1,400,1
Orange,16,51,102,204,1,400,1
pandas (software),16,51,102,204,1,400,1
(TMVA with ROOT),16,32,33,34,1,400,1
scikit-learn,16,51,102,204,1,400,1
Shogun,16,51,102,204,1,400,1
Spark MLlib,16,51,102,204,1,400,1
SystemML,12.32,51,102,204,1,400,1
TensorFlow,16,51,102,204,1,400,1
Torch,16,51,102,204,1,400,1
PyTorch,16,51,102,204,1,400,1
XGBoost,16,51,102,204,1,400,1
Yooreeka,16,51,102,204,1,400,1
Proprietary software with free and open-source editions,21,0,0,0,1,400,1
KNIME,16,51,102,204,1,400,1
RapidMiner,16,51,102,204,1,400,1
Proprietary software,21,0,0,0,1,400,1
Amazon Machine Learning,12.32,51,102,204,1,400,1
KnowledgeSTUDIO,16,32,33,34,1,400,1
Angoss,16,51,102,204,1,400,1
Azure Machine Learning,12.32,51,102,204,1,400,1
Ayasdi,16,32,33,34,1,400,1
IBM Watson Studio,16,51,102,204,1,400,1
Google Cloud Vertex AI,16,51,102,204,1,400,1
Google Prediction API,16,51,102,204,1,400,1
IBM SPSS Modeler,16,51,102,204,1,400,1
KXEN Modeler,16,51,102,204,1,400,1
LIONsolver,16,51,102,204,1,400,1
Mathematica,12.32,51,102,204,1,400,1
MATLAB,16,51,102,204,1,400,1
Neural Designer,16,51,102,204,1,400,1
NeuroSolutions,16,51,102,204,1,400,1
Oracle Data Mining,16,51,102,204,1,400,1
Oracle AI Platform Cloud Service,16,51,102,204,1,400,1
PolyAnalyst,16,51,102,204,1,400,1
RCASE,16,51,102,204,1,400,1
SAS Enterprise Miner,16,51,102,204,1,400,1
SequenceL,16,51,102,204,1,400,1
Splunk,16,51,102,204,1,400,1
Data Miner,16,32,33,34,1,400,1
STATISTICA,12.32,51,102,204,1,400,1
Journals,21,0,0,0,1,400,1
Journal of Machine Learning Research,16,51,102,204,1,400,1
Machine Learning,16,51,102,204,1,400,1
Nature Machine Intelligence,16,51,102,204,1,400,1
Neural Computation,16,51,102,204,1,400,1
IEEE Transactions on Pattern Analysis and Machine Intelligence,16,32,33,34,1,400,1
Conferences,21,0,0,0,1,400,1
AAAI Conference on Artificial Intelligence,16,51,102,204,1,400,1
Association for Computational Linguistics ( ),16,51,102,204,1,400,1
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases ( ),12.32,51,102,204,1,400,1
ECML PKDD,10.9956,32,33,34,1,700,1
International Conference on Computational Intelligence Methods for Bioinformatics and Biostatistics ( ),16,51,102,204,1,400,1
International Conference on Machine Learning ( ),16,51,102,204,1,400,1
International Conference on Learning Representations ( ),16,51,102,204,1,400,1
International Conference on Intelligent Robots and Systems ( ),16,51,102,204,1,400,1
Conference on Knowledge Discovery and Data Mining ( ),12.32,51,102,204,1,400,1
Conference on Neural Information Processing Systems ( ),16,51,102,204,1,400,1
NeurIPS,10.9956,32,33,34,1,700,1
See also,21,0,0,0,1,400,1
Automated machine learning,16,51,102,204,1,400,1
Big data,16,51,102,204,1,400,1
Differentiable programming,16,51,102,204,1,400,1
List of important publications in machine learning,16,51,102,204,1,400,1
List of datasets for machine-learning research,16,51,102,204,1,400,1
References,21,0,0,0,1,400,1
"Mitchell, Tom",16,51,102,204,1,400,1
Machine Learning,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Arthur Samuel,16,51,102,204,1,400,1
paraphrase,16,51,102,204,1,400,1
Voronoi-Based Multi-Robot Autonomous Exploration in Unknown Environments via Deep Reinforcement Learning,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
"""Application of Machine Learning Algorithms in Plant Breeding: Predicting Yield From Hyperspectral Reflectance in Soybean?""",12.4678,51,102,204,1,400,1
Front. Plant Sci,14,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
"Bishop, C. M.",12.32,51,102,204,1,400,1
Pattern Recognition and Machine Learning,14,51,102,204,1,400,1
"Machine learning and pattern recognition ""can be viewed as two facets of the same field.""",12.6,32,33,34,1,400,1
"Friedman, Jerome H.",16,51,102,204,1,400,1
Computing Science and Statistics,14,51,102,204,1,400,1
"""What is Machine Learning?""",12.4678,51,102,204,1,400,1
www.ibm.com,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Machine Learning for Beginners: An Introduction to Neural Networks""",12.4678,51,102,204,1,400,1
Medium,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
Introduction to Machine Learning,14,51,102,204,1,400,1
IBM Journal of Research and Development,14,51,102,204,1,400,1
CiteSeerX,12.32,51,102,204,1,400,1
"""How the Computer Got Its Revenge on the Soviet Union""",12.4678,51,102,204,1,400,1
Nautilus,14,51,102,204,1,400,1
the original,12.4678,51,102,204,1,400,1
"""The Impact of Automation On Public Administration""",12.4678,51,102,204,1,400,1
Western Political Quarterly,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Time (magazine),16,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
Machine Learning,14,51,102,204,1,400,1
"Harnad, Stevan",16,51,102,204,1,400,1
The Turing Test Sourcebook: Philosophical and Methodological Issues in the Quest for the Thinking Computer,14,51,102,204,1,400,1
the original,12.4678,51,102,204,1,400,1
", retrieved",12.6,32,33,34,1,400,1
Edzion,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""An Empirical Science Research on Bioinformatics in Machine Learning""",12.4678,51,102,204,1,400,1
Journal of Mechanics of Continua and Mathematical Sciences,14,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
"Russell, Stuart",16,51,102,204,1,400,1
"Norvig, Peter",16,51,102,204,1,400,1
Artificial Intelligence: A Modern Approach,16,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
"""The changing science of machine learning""",12.4678,51,102,204,1,400,1
Machine Learning,16,51,102,204,1,400,1
"""Improving First and Second-Order Methods by Modeling Uncertainty""",12.4678,51,102,204,1,400,1
Optimization for Machine Learning,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"Altman, Naomi",16,51,102,204,1,400,1
"""Statistics versus Machine Learning""",12.4678,51,102,204,1,400,1
Nature Methods,16,51,102,204,1,400,1
Jump up to:,12.6,51,102,204,1,400,1
Michael I. Jordan,16,51,102,204,1,400,1
"""statistics and machine learning""",12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Breiman: Statistical Modeling: The Two Cultures (with comments and a rejoinder by the author)""",12.4678,51,102,204,1,400,1
Statistical Science,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
An Introduction to Statistical Learning,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"Mohri, Mehryar",16,51,102,204,1,400,1
Foundations of Machine Learning,14,51,102,204,1,400,1
Introduction to Machine Learning,14,51,102,204,1,400,1
Artificial Intelligence: A Modern Approach,14,51,102,204,1,400,1
Foundations of Machine Learning,14,51,102,204,1,400,1
Introduction to Machine Learning,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"Computer Science Handbook, Second Edition (Section VII: Intelligent Systems)",14,51,102,204,1,400,1
"""Weak Supervision: The New Programming Paradigm for Machine Learning""",12.4678,51,102,204,1,400,1
hazyresearch.github.io,14,51,102,204,1,400,1
the original,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Reinforcement learning and Markov decision processes,14,51,102,204,1,400,1
Reinforcement Learning,14,51,102,204,1,400,1
Metalearning: Applications to Data Mining,14,51,102,204,1,400,1
Springer Science+Business Media,16,51,102,204,1,400,1
passim,14,51,102,204,1,400,1
IEEE Transactions on Pattern Analysis and Machine Intelligence,14,51,102,204,1,400,1
arXiv,12.32,51,102,204,1,400,1
Maximum-Margin Matrix Factorization,14,51,102,204,1,400,1
An analysis of single-layer networks in unsupervised feature learning,14,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
the original,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Visual categorization with bags of keypoints,14,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
Archived,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Speech and Language Processing,14,51,102,204,1,400,1
"""A Survey of Multilinear Subspace Learning for Tensor Data""",12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
Pattern Recognition,14,51,102,204,1,400,1
Bibcode,12.32,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Yoshua Bengio,16,51,102,204,1,400,1
Learning Deep Architectures for AI,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
IEEE Signal Processing Letters,14,51,102,204,1,400,1
arXiv,12.32,51,102,204,1,400,1
Bibcode,12.32,51,102,204,1,400,1
"Aharon, M",16,51,102,204,1,400,1
K-SVD: An Algorithm for Designing Overcomplete Dictionaries for Sparse Representation,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
Encyclopedia of Database Systems,14,51,102,204,1,400,1
"""A Survey of Outlier Detection Methodologies""",12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
Artificial Intelligence Review,14,51,102,204,1,400,1
CiteSeerX,12.32,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Data mining for network intrusion detection""",12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
Proceedings NSF Workshop on Next Generation Data Mining,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
ACM Computing Surveys,16,51,102,204,1,400,1
"""Learning efficient haptic shape exploration with a rigid tactile sensor array, S. Fleer, A. Moringen, R. Klatzky, H. Ritter""",12.4678,51,102,204,1,400,1
PLOS ONE,14,51,102,204,1,400,1
arXiv,12.32,51,102,204,1,400,1
"""Attention-Based Robot Learning of Haptic Interaction""",12.4678,51,102,204,1,400,1
"Haptics: Science, Technology, Applications",14,51,102,204,1,400,1
archived,12.4678,51,102,204,1,400,1
", retrieved",12.6,32,33,34,1,400,1
"Discovery, analysis, and presentation of strong rules",14,51,102,204,1,400,1
Knowledge Discovery in Databases,14,51,102,204,1,400,1
"""Functional Network Construction in Arabidopsis Using Rule-Based Machine Learning on Large-Scale Data Sets""",12.4678,51,102,204,1,400,1
The Plant Cell,14,51,102,204,1,400,1
CiteSeerX,12.32,51,102,204,1,400,1
"""Learning Classifier Systems: A Complete Introduction, Review, and Roadmap""",12.4678,51,102,204,1,400,1
Journal of Artificial Evolution and Applications,14,51,102,204,1,400,1
Automatic Methods of Inductive Inference,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
Inductive inference of theories from facts,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
Algorithmic program debugging,14,51,102,204,1,400,1
The model inference system,12.4678,51,102,204,1,400,1
Convolutional Deep Belief Networks for Scalable Unsupervised Learning of Hierarchical Representations,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
"Cortes, Corinna",16,51,102,204,1,400,1
"""Support-vector networks""",12.4678,51,102,204,1,400,1
Machine Learning,16,51,102,204,1,400,1
"""Tutorial: Polynomial Regression in Excel""",12.4678,51,102,204,1,400,1
facultystaff.richmond.edu,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
scikit-learn,16,51,102,204,1,400,1
examples,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
"""Genetic algorithms and machine learning""",12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
Machine Learning,16,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
(PDF),11.97,32,33,34,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Ellis Horwood Series in Artificial Intelligence,14,51,102,204,1,400,1
Bibcode,12.32,51,102,204,1,400,1
Computational Intelligence Magazine,14,51,102,204,1,400,1
"""Federated Learning: Collaborative Machine Learning without Centralized Training Data""",12.4678,51,102,204,1,400,1
Google AI Blog,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
CFA Curriculum,12.32,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
research.att.com,12.6,32,33,34,1,400,1
"""BelKor Home Page""",12.4678,51,102,204,1,400,1
the original,12.4678,51,102,204,1,400,1
"""Letting the Machines Decide""",12.4678,51,102,204,1,400,1
The Wall Street Journal,16,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
"""Do We Need Doctors or Algorithms?""",12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
"When A Machine Learning Algorithm Studied Fine Art Paintings, It Saw Things Art Historians Had Never Noticed",12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
Wayback Machine,16,51,102,204,1,400,1
The Physics at blog,14,51,102,204,1,400,1
ArXiv,16,51,102,204,1,400,1
"""The first AI-generated textbook shows what robot writers are actually good at""",12.4678,51,102,204,1,400,1
The Verge,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,14,51,102,204,1,400,1
"""Application of machine learning to predict visitors' green behavior in marine protected areas: evidence from Cyprus""",12.4678,51,102,204,1,400,1
Journal of Sustainable Tourism,14,51,102,204,1,400,1
"""User Interaction Aware Reinforcement Learning for Power and Thermal Efficiency of CPU-GPU Mobile MPSoCs""",12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Smartphones get smarter with Essex innovation""",12.4678,51,102,204,1,400,1
Business Weekly,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Future smartphones 'will prolong their own battery life by monitoring owners' behaviour' """,12.4678,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Why Machine Learning Models Often Fail to Learn: QuickTake Q&A""",12.4678,51,102,204,1,400,1
Bloomberg.com,14,51,102,204,1,400,1
the original,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""The First Wave of Corporate AI Is Doomed to Fail""",12.4678,51,102,204,1,400,1
Harvard Business Review,14,51,102,204,1,400,1
Archived,12.4678,51,102,204,1,400,1
. Retrieved,12.6,32,33,34,1,400,1
"""Why the A.I. euphoria is doomed to fail""",12.4678,51,102,204,1,400,1
VentureBeat,14,51,102,204,1,400,1
